手動入力	API 自動取得			URL自動計算	手動入力				
YouTubeリンク	動画タイトル	投稿日	サムネイルURL	再生位置	タイプ	曲名	原曲歌唱	作詞・作曲他	タグ（カンマ区切り）
https://www.youtube.com/watch?v=GQT3lN7ZfpY&t=1104	【雑談】おしゃべりとか【メリッサ・キンレンカ/にじさんじ】	2020-02-10T02:37:12Z	https://i.ytimg.com/vi/GQT3lN7ZfpY/default.jpg		配信	コイワズライ	Aimer	作詞：aimerrhythm、作曲：飛内将太	アカペラ
https://www.youtube.com/watch?v=GQT3lN7ZfpY&t=1221	【雑談】おしゃべりとか【メリッサ・キンレンカ/にじさんじ】	2020-02-10T02:37:12Z	https://i.ytimg.com/vi/GQT3lN7ZfpY/default.jpg		配信	Pretender	Official髭男dism	作詞・作曲：藤原聡	アカペラ
https://www.youtube.com/watch?v=GQT3lN7ZfpY&t=4360	【雑談】おしゃべりとか【メリッサ・キンレンカ/にじさんじ】	2020-02-10T02:37:12Z	https://i.ytimg.com/vi/GQT3lN7ZfpY/default.jpg		配信	白日	King Gnu	作詞・作曲：常田大希	アカペラ
https://www.youtube.com/watch?v=GQT3lN7ZfpY&t=4606	【雑談】おしゃべりとか【メリッサ・キンレンカ/にじさんじ】	2020-02-10T02:37:12Z	https://i.ytimg.com/vi/GQT3lN7ZfpY/default.jpg		配信	Vinyl	King Gnu	作詞・作曲：常田大希	アカペラ
https://www.youtube.com/watch?v=KVDWULxFgS8&t=3700	【祝・収益化記念】宴だあああああああ！！【メリッサ・キンレンカ/にじさんじ】	2020-02-11T14:11:46Z	https://i.ytimg.com/vi/KVDWULxFgS8/default.jpg		配信	宿命	Official髭男dism	作詞・作曲：藤原聡、編曲：蔦谷好位置	アカペラ,ワンフレーズ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=960	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	月のワルツ	諫山実生	作詞：湯川れい子、作曲：諫山実生、編曲：安部潤	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=1310	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	もらい泣き	一青窈	作曲：溝渕大智・マシコタツロウ・武部聡志、編曲：武部聡志	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=1724	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	涙そうそう	BEGIN	作詞：森山良子、作曲：BEGIN	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=1968	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	なごり雪	かぐや姫	作詞・作曲：伊勢正三	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=2273	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	ラヴ・イズ・オーヴァー	欧陽菲菲	作詞・作曲：伊藤薫	アカペラ
