手動入力	API 自動取得			URL自動計算	手動入力				
YouTubeリンク	動画タイトル	投稿日	サムネイルURL	再生位置	タイプ	曲名	原曲歌唱	作詞・作曲他	タグ（カンマ区切り）
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=4800	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	Arrietty's Song	セシル・コルベル	作詞：セシル・コルベル、日本語訳詞：伊平容子、作曲：サイモン・キャビー／セシル・コルベル	アカペラ,短め
https://www.youtube.com/watch?v=9ER7VsoZo2k&t=421	【歌枠】ゆどうふってやっぱポン酢【メリッサ・キンレンカ/にじさんじ】	2020-09-07T23:58:28Z	https://i.ytimg.com/vi/9ER7VsoZo2k/default.jpg		歌枠	再会	はるまきごはん	歌唱：初音ミク	
https://www.youtube.com/watch?v=9ER7VsoZo2k&t=772	【歌枠】ゆどうふってやっぱポン酢【メリッサ・キンレンカ/にじさんじ】	2020-09-07T23:58:28Z	https://i.ytimg.com/vi/9ER7VsoZo2k/default.jpg		歌枠	メーベル	バルーン	歌唱：flower	
https://www.youtube.com/watch?v=9ER7VsoZo2k&t=1269	【歌枠】ゆどうふってやっぱポン酢【メリッサ・キンレンカ/にじさんじ】	2020-09-07T23:58:28Z	https://i.ytimg.com/vi/9ER7VsoZo2k/default.jpg		歌枠	恋の魔法	ぱなまん×TOKOTOKO（西沢さんP）	作詞・作曲：TOKOTOKO(西沢さんP)	
https://www.youtube.com/watch?v=9ER7VsoZo2k&t=1592	【歌枠】ゆどうふってやっぱポン酢【メリッサ・キンレンカ/にじさんじ】	2020-09-07T23:58:28Z	https://i.ytimg.com/vi/9ER7VsoZo2k/default.jpg		歌枠	奏（かなで）	スキマスイッチ	作詞・作曲：スキマスイッチ	
https://www.youtube.com/watch?v=9ER7VsoZo2k&t=2415	【歌枠】ゆどうふってやっぱポン酢【メリッサ・キンレンカ/にじさんじ】	2020-09-07T23:58:28Z	https://i.ytimg.com/vi/9ER7VsoZo2k/default.jpg		歌枠	ようこそジャパリパークへ	どうぶつビスケッツ×PPP	作詞・作曲・編曲：大石昌良	
https://www.youtube.com/watch?v=9ER7VsoZo2k&t=2650	【歌枠】ゆどうふってやっぱポン酢【メリッサ・キンレンカ/にじさんじ】	2020-09-07T23:58:28Z	https://i.ytimg.com/vi/9ER7VsoZo2k/default.jpg		歌枠	憂一乗	ヨルシカ	作詞・作曲・編曲：n-buna	
https://www.youtube.com/watch?v=9ER7VsoZo2k&t=2981	【歌枠】ゆどうふってやっぱポン酢【メリッサ・キンレンカ/にじさんじ】	2020-09-07T23:58:28Z	https://i.ytimg.com/vi/9ER7VsoZo2k/default.jpg		歌枠	ただ君に晴れ	ヨルシカ	作詞・作曲・編曲：n-buna	
https://www.youtube.com/watch?v=lACg78Q93Q0&t=6095	【牧場物語】第３話やっぱり台所は広いほうが嬉しい【メリッサ・キンレンカ/にじさんじ】	2020-10-18T10:19:30Z	https://i.ytimg.com/vi/lACg78Q93Q0/default.jpg		配信	secret base ～君がくれたもの～	ZONE	作詞・作曲：町田紀彦	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=363	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	Story	AI	作詞：AI、作曲：2SOUL	アカペラ,短め
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=410	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	First Love	宇多田ヒカル	作詞・作曲：宇多田ヒカル、編曲：河野圭	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=609	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	やさしさに包まれたなら	荒井由実（松任谷由実）	作詞・作曲：荒井由実	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=733	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	テルーの唄	手嶌葵	作詞：宮崎吾朗、作曲：谷山浩子	アカペラ,短め
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=910	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	ルージュの伝言	荒井由実（松任谷由実）	作詞・作曲：荒井由実	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=1131	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	Arrietty's Song	セシル・コルベル	作詞：セシル・コルベル、日本語訳詞：伊平容子、作曲：サイモン・キャビー／セシル・コルベル	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=1412	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	白い恋人達	桑田佳祐	作詞・作曲・編曲：桑田佳祐	アカペラ,短め
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=1553	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	糸	中島みゆき	作詞・作曲：中島みゆき	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=1789	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	マリーゴールド	あいみょん	作詞・作曲：あいみょん	アカペラ,短め
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=2047	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	明日がくるなら	JUJU	作詞：JUJU・JAY'ED・Jeff Miyahara、作曲：JUJU・JAY'ED・Jeff Miyahara・RYLL & couco、編曲：Jeff Miyahara & RYLL	アカペラ,短め
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=2079	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	again	YUI	作詞・作曲：YUI	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=2251	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	月のワルツ	諫山実生	作詞：湯川れい子、作曲：諫山実生、編曲：安部潤	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=2689	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	月のワルツ	諫山実生	作詞：湯川れい子、作曲：諫山実生、編曲：安部潤	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=2839	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	ヴィーナスとジーザス	やくしまるえつこ	作詞・作曲：ティカ・α、編曲：近藤研二	アカペラ,短め
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=2905	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	ヴィーナスとジーザス	やくしまるえつこ	作詞・作曲：ティカ・α、編曲：近藤研二	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=3350	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	City of Stars	ライアン・ゴズリング & エマ・ストーン 	作詞・作曲：Justin Hurwitz, Benj Pasek & Justin Paul	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=3913	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	愛のメモリー	松崎しげる	作詞：たかたかし、作曲：馬飼野康二	アカペラ,短め
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=3990	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	LA・LA・LA LOVE SONG	久保田利伸 with NAOMI CAMPBELL	作詞・作曲：久保田利伸	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=4141	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	Missing	久保田利伸	作詞・作曲：久保田利伸	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=4341	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	催眠術	女王蜂	作詞・作曲：薔薇園アヴ	アカペラ,短め
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=4396	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	火炎	女王蜂	作詞・作曲：薔薇園アヴ	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=4538	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	三文小説	King Gnu	作詞・作曲：常田大希	アカペラ
https://www.youtube.com/watch?v=gD7fWR-Q1XM&t=4627	あかぺらこもりうた【メリッサ・キンレンカ/にじさんじ】	2020-12-17T20:55:47Z	https://i.ytimg.com/vi/gD7fWR-Q1XM/default.jpg		歌枠	グレゴリオ feat. ちびた	古川本舗	作詞・作曲：古川本舗	アカペラ
https://twitter.com/melissa_2434/status/1337472063922085888	胎生８０万＆haze100万記念	2020-12-11T18:59:00Z			Twitter	オリジナル曲（胎生８０万＆haze100万記念）	メリッサ・キンレンカ		Twitter,オリジナル
https://www.youtube.com/watch?v=7BHG6SAYqOQ	あゝオオサカdreamin' night/メリッサ Cover	2020-12-06T15:06:56Z	https://i.ytimg.com/vi/7BHG6SAYqOQ/default.jpg		メンバー限定	あゝオオサカdreamin'night	どついたれ本舗	作詞：R-指定、作曲：DJ松永	
https://twitter.com/melissa_2434/status/1335280588224253952	あゝオオサカdreamin'night	2020-12-05T18:51:00Z			Twitter	あゝオオサカdreamin'night	どついたれ本舗	作詞：R-指定、作曲：DJ松永	Twitter,短め
https://twitter.com/melissa_2434/status/1335260116229054467	Tragic Transistor	2020-12-05T16:29:00Z			Twitter	Tragic Transistor	白膠木簓(岩崎諒太)	作詞：HIDADDY、作曲・編曲：ALI-KICK	Twitter,短め
https://www.youtube.com/watch?v=twFTIyHWcCc	「ひとりで生きられそう」って それってねえ、褒めているの？/メリッサ Cover	2020-10-31T15:58:34Z	https://i.ytimg.com/vi/twFTIyHWcCc/default.jpg		メンバー限定	「ひとりで生きられそう」って それってねえ、褒めているの？	Juice=Juice	作詞・作曲：山崎あおい	
https://twitter.com/melissa_2434/status/1320771364005974016	メン限Coming Soon	2020-10-26T16:56:00Z			Twitter	「ひとりで生きられそう」って それってねえ、褒めているの？	Juice=Juice	作詞・作曲：山崎あおい	Twitter,短め
https://twitter.com/melissa_2434/status/1315476340049469440	傘	2020-10-12T02:16:00Z			Twitter	傘	King Gnu	作詞・作曲：常田大希	Twitter,短め
https://twitter.com/melissa_2434/status/1295488191080706048	胎生	2020-08-17T22:30:00Z			Twitter	胎生	メリッサ・キンレンカ		Twitter,オリジナル,短め
https://twitter.com/melissa_2434/status/1274378627400953856	およげ！たいやきくん	2020-06-20T16:28:00Z			Twitter	およげ！たいやきくん	子門真人	作詞：高田ひろお、作曲：佐瀬寿一	Twitter,アカペラ,短め
https://twitter.com/melissa_2434/status/1272515506478571520	これは再掲	2020-06-15T12:05:00Z			Twitter	可愛くなりたい feat.成海聖奈（CV：雨宮天）	HoneyWorks	作詞：shito,Gom、作曲：shito、編曲：HoneyWorks	Twitter,短め
https://twitter.com/melissa_2434/status/1255884152458469376	；；	2020-04-30T15:38:00Z			Twitter	チチをもげ！	高橋広樹	作詞： 雷句誠・大和屋暁、作曲： 樫原伸彦	Twitter
https://twitter.com/melissa_2434/status/1251131022852321280	ヴィラン	2020-04-17T12:50:00Z			Twitter	ヴィラン	flower・てにをは	Music：てにをは	Twitter,コラボ,叶
https://twitter.com/melissa_2434/status/1241651459503972353	土星の窓辺	2020-03-02T21:32:00Z			Twitter	土星の窓辺	TOKOTOKO（西沢さんP）	歌唱：GUMI	Twitter
https://twitter.com/melissa_2434/status/1234592505062014976	水流のロック	2020-03-22T09:02:00Z			Twitter	水流のロック	日食なつこ	作詞・作曲：日食なつこ	Twitter
https://twitter.com/melissa_2434/status/1233495108080881664	blue	2020-02-28T20:52:00Z			Twitter	blue	メリッサ・キンレンカ	作詞・作曲：メリッサ・キンレンカ？	Twitter,オリジナル,短め
https://twitter.com/melissa_2434/status/1227439035477635073	ねむるまち	2020-02-12T03:47:00Z			Twitter	ねむるまち	Flower<br>yama	Music：くじら	Twitter
https://twitter.com/Kanae_2434/status/1249882546139095040	い～やい～やい～や	2020-04-14T02:09:00Z			Twitter	い〜やい〜やい〜や	Neru & z’5	歌唱：鏡音リン・レン	Twitter,コラボ,叶
https://twitter.com/furen_2434/status/1254107900735131649	サンドリヨン	2020-04-25T17:59:00Z			Twitter	サンドリヨン	作詞：orange<br>作編曲：シグナルP（現 Dios/シグナルP）	歌唱：初音ミク・KAITO	Twitter,コラボ,フレン・E・ルスタリオ
https://www.youtube.com/watch?v=d23NV5ZGGWg&t=55	【にじさんじ】カバーソングアルバム - 10/28発売『Prismatic Colors』特典CD XFDムービー	2020-10-22T03:00:12Z	https://i.ytimg.com/vi/d23NV5ZGGWg/default.jpg		CD	oblivious	Kalafina	作詞・作曲・編曲：梶浦由記	CD,短め
https://www.youtube.com/watch?v=nHRPsX_QdLY&t=38	【にじさんじ】カバーソングアルバム - 10/28発売『Prismatic Colors』XFDムービー	2020-10-15T03:00:15Z	https://i.ytimg.com/vi/nHRPsX_QdLY/default.jpg		CD	ジレンマ	ecosystem	作詞・作曲：壺坂恵、編曲：ecosystem・Tomi Yo	CD,短め
https://www.youtube.com/watch?v=8y3eTHQ1uro&t=5	【ざつだん】辛いようで辛くないパウダー【メリッサ・キンレンカ/にじさんじ】	2021-01-12T16:29:54Z	https://i.ytimg.com/vi/8y3eTHQ1uro/default.jpg		配信	ガーネット	奥華子	作詞・作曲：奥華子	アカペラ
https://www.youtube.com/watch?v=8y3eTHQ1uro&t=1658	【ざつだん】辛いようで辛くないパウダー【メリッサ・キンレンカ/にじさんじ】	2021-01-12T16:29:54Z	https://i.ytimg.com/vi/8y3eTHQ1uro/default.jpg		配信	STAY TUNE	Suchmos	作詞：YONCE・HSU、作曲：Suchmos	アカペラ,短め
https://www.youtube.com/watch?t=3469&v=vjNxb97zafs	【ポケットモンスター盾】スパイス【メリッサ・キンレンカ/にじさんじ】	2020-11-16T17:37:02Z	https://i.ytimg.com/vi/vjNxb97zafs/default.jpg		配信	<small>[1] Dr.WILY STAGE 1 (思い出は億千万)、[2] nowhere、[3] レッツゴー！陰陽師、[4] エージェント夜を往く<br>(組曲『ニコニコ動画』)</small>	[2] FictionJunction YUUKA、[3] 矢部野彦麿 & 琴姫 With 坊主ダンサーズ、[4] 菊地真(CV:平田宏美)	[1] 作曲：流石野孝、作詞者不詳、[2] 作詞・作曲：梶浦由記、[3] 作詞・作曲：田中敬一、[4] 作詞・作曲・編曲：NBGI(LindaAI-CUE)	アカペラ,短め
https://www.youtube.com/watch?t=2247&v=vjNxb97zafs	【ポケットモンスター盾】スパイス【メリッサ・キンレンカ/にじさんじ】	2020-11-16T17:37:02Z	https://i.ytimg.com/vi/vjNxb97zafs/default.jpg		配信	月光花	Janne Da Arc	作詞・作曲：yasu	アカペラ,短め
https://www.youtube.com/watch?t=8391&v=vjNxb97zafs	【ポケットモンスター盾】スパイス【メリッサ・キンレンカ/にじさんじ】	2020-11-16T17:37:02Z	https://i.ytimg.com/vi/vjNxb97zafs/default.jpg		配信	粉雪	レミオロメン	作詞・作曲：藤巻亮太	アカペラ,短め
https://www.youtube.com/watch?t=8436&v=vjNxb97zafs	【ポケットモンスター盾】スパイス【メリッサ・キンレンカ/にじさんじ】	2020-11-16T17:37:02Z	https://i.ytimg.com/vi/vjNxb97zafs/default.jpg		配信	3月9日	レミオロメン	作詞・作曲：藤巻亮太	アカペラ,短め,ニャンレンカ
https://www.youtube.com/watch?v=40Zyv1NWKjY&t=328	【zatu】雑だんしんぐ【メリッサ・キンレンカ/にじさんじ】	2021-01-25T16:45:39Z	https://i.ytimg.com/vi/40Zyv1NWKjY/default.jpg		配信	ファンサ	mona(CV:夏川椎菜)	作編曲：HoneyWorks、ギター：中西、ベース：shito、ピアノ：宇都圭輝、ドラム：樋口幸佑、ストリングスアレンジ：堤 博明、ストリングス：門脇大輔ストリングス	アカペラ,短め
https://www.youtube.com/watch?v=S_GoLgDZLOU&t=5	【一周年】めりっさ【メリッサ・キンレンカ/にじさんじ】	2021-01-31T23:49:38Z	https://i.ytimg.com/vi/S_GoLgDZLOU/default.jpg		配信	天体観測	BUMP OF CHICKEN	作詞・作曲：藤原基央	アカペラ
https://www.youtube.com/watch?v=S_GoLgDZLOU&t=5148	【一周年】めりっさ【メリッサ・キンレンカ/にじさんじ】	2021-01-31T23:49:38Z	https://i.ytimg.com/vi/S_GoLgDZLOU/default.jpg		配信	StarRingChild	Aimer	作詞・作曲・編曲：澤野弘之	アカペラ,短め
https://www.youtube.com/watch?v=p05ZQ_81RJ4&t=4505	【雑談】めりとゆるゆる夜雑談🌃【にじさんじ/山神カルタ/メリッサ・キンレンカ】	2021-02-20T17:23:07Z	https://i.ytimg.com/vi/p05ZQ_81RJ4/default.jpg		他チャンネル	香水 <small>(※考察含む、約 25 分)</small>	瑛人	作詞・作曲：瑛人	山神カルタ,アカペラ
https://www.youtube.com/watch?v=txc0Vn2ub6Y	にじさんじ - Wonder NeverLand (Official Lyric Video)	2021-02-24T15:00:15Z	https://i.ytimg.com/vi/txc0Vn2ub6Y/default.jpg		にじさんじ	Wonder NeverLand	卯月コウ、シスター・クレア、月ノ美兎、花畑チャイカ、町田ちま、レヴィ・エリファ、ジョー・力一、健屋花那、鈴原るる、不破湊、メリッサ・キンレンカ、リゼ・ヘルエスタ	Lyrics & Music: kz / Arrangement: kz, やしきん / Drums: 樋口 幸佑 / Bass: 工藤嶺(F.M.F) / Strings: 吉田宇宙ストリングス / Trumpet: 湯本淳希 / Trumpet: 長田明宏 / Trombone: YOSHIO / Guitar: やしきん(F.M.F) / Other Instruments & Programming: kz(livetune), やしきん(F.M.F)	にじさんじ
https://www.youtube.com/watch?v=EzlYDbpHkq8	Wonder NeverLand (ジョー・力一, 健屋花那, 鈴原るる, 不破湊,...	2021-02-24T10:08:05Z	https://i.ytimg.com/vi/EzlYDbpHkq8/default.jpg		にじさんじ	Wonder NeverLand<br><small>(ジョー・力一、健屋花那、鈴原るる、不破湊、メリッサ・キンレンカ、リゼ・ヘルエスタ)</small>	ジョー・力一、健屋花那、鈴原るる、不破湊、メリッサ・キンレンカ、リゼ・ヘルエスタ	Lyrics & Music: kz / Arrangement: kz, やしきん / Drums: 樋口 幸佑 / Bass: 工藤嶺(F.M.F) / Strings: 吉田宇宙ストリングス / Trumpet: 湯本淳希 / Trumpet: 長田明宏 / Trombone: YOSHIO / Guitar: やしきん(F.M.F) / Other Instruments & Programming: kz(livetune), やしきん(F.M.F)	にじさんじ
https://www.youtube.com/watch?v=J_U54eDXwgw&t=12	雑談,相談とか化粧品【メリッサ・キンレンカ/にじさんじ】	2020-10-06T16:45:53Z	https://i.ytimg.com/vi/J_U54eDXwgw/default.jpg		配信	紅葉 (もみじ)		作詞：高野辰之、作曲：岡野貞一	アカペラ,短め
https://www.youtube.com/watch?v=_nJxz_3Kgps&t=578	こたえるかもしれないし、こたえないかもしれない雑談【メリッサ・キンレンカ/にじさんじ】	2020-09-29T15:30:46Z	https://i.ytimg.com/vi/_nJxz_3Kgps/default.jpg		配信	One more time, One more chance	山崎まさよし	作詞・作曲：山崎将義	アカペラ
https://www.youtube.com/watch?v=xz0iriPFNcA	エンヴィーベイビー/ メリッサ・キンレンカ Cover	2021-03-28T11:00:16Z	https://i.ytimg.com/vi/xz0iriPFNcA/default.jpg		動画	エンヴィーベイビー	Kanaria	歌唱：GUMI	カバー
https://www.youtube.com/watch?v=Tc4D33BObEo&t=3252	【雑談】ほんまかこんにゃく【メリッサ・キンレンカ/にじさんじ】	2021-03-29T15:07:19Z	https://i.ytimg.com/vi/Tc4D33BObEo/default.jpg		配信	はじめてのチュウ	あんしんパパ	作詞・作曲：実川俊晴	アカペラ,短め
https://twitter.com/melissa_2434/status/1379951422054100993	食虫植物-理芽	2021-04-08T00:17:00Z			Twitter	食虫植物	理芽	作詞・作曲・編曲：笹川真生	Twitter,短め
https://twitter.com/melissa_2434/status/1335937182108966913	🥺	2020-12-07T13:20:00Z			Twitter	Femme Fatale	中王区 言の葉党	作詞：Reol、作曲：Reol・Giga	Twitter,短め
https://twitter.com/melissa_2434/status/1335913738612822016	femme fatale	2020-12-07T11:47:00Z			Twitter	Femme Fatale	中王区 言の葉党	作詞：Reol、作曲：Reol・Giga	Twitter,短め
https://twitter.com/melissa_2434/status/1295491118885289984	🥩	2020-08-17T22:42:00Z			Twitter	？？ (オリジナル?)			Twitter,短め
https://www.youtube.com/watch?v=tj2Q8RJWTME&t=4167	【雑談】１０００万ってクラス何個ぶん【メリッサ・キンレンカ/にじさんじ】	2021-04-19T16:16:23Z	https://i.ytimg.com/vi/tj2Q8RJWTME/default.jpg		配信	100万回の「I love you」	Rake	作詞・作曲：Rake	アカペラ,短め
https://www.youtube.com/watch?v=Kjoe1vXlmxQ	【オリジナル振付】蝶々結び歌って踊ってみた【健屋花那/にじさんじ】	2020-09-13T13:27:05Z	https://i.ytimg.com/vi/Kjoe1vXlmxQ/default.jpg		他チャンネル	蝶々結び<br><small>(健屋花那 / コーラス参加)</small>	Aimer	作詞・作曲・編曲：野田洋次郎	
https://www.youtube.com/watch?v=aC2EV7dXDuU	napori　カバ	2021-05-25T13:09:21Z	https://i.ytimg.com/vi/aC2EV7dXDuU/default.jpg		メンバー限定	napori	Vaundy	作詞・作曲：Vaundy	
https://twitter.com/melissa_2434/status/1397177799413178376	このあとめんげんにとうこうしまうま	2021-05-25T13:08:00Z			Twitter	napori	Vaundy	作詞・作曲：Vaundy	Twitter,短め
https://www.youtube.com/watch?v=qsu5VIXRC48	にじさんじ - Virtual Strike (Official Lyric Video)	2021-05-28T03:00:12Z	https://i.ytimg.com/vi/qsu5VIXRC48/default.jpg		にじさんじ	Virtual Strike<br><small>(<a href="http://open.spotify.com/album/4O5AuMIOiQlCx75n2kvPjc">Spotify</a> ほか<a href="https://nex-tone.link/A00087660">各プラットフォームで販売・配信中</a>)</small>	早瀬走、メリッサ・キンレンカ	作詞・作曲：TeddyLoid	にじさんじ
https://www.youtube.com/watch?v=WPsn3TgScTk	Virtual Strike (Japanese Ver.) feat. メリッサ・キンレンカ	2021-06-10T10:33:24Z	https://i.ytimg.com/vi/WPsn3TgScTk/default.jpg		にじさんじ	Virtual Strike (Japanese Ver.) feat. メリッサ・キンレンカ<br><small>(<a href="http://open.spotify.com/album/4O5AuMIOiQlCx75n2kvPjc">Spotify</a> ほか<a href="https://nex-tone.link/A00087660">各プラットフォームで販売・配信中</a>)</small>	メリッサ・キンレンカ	作詞・作曲：TeddyLoid	にじさんじ
https://www.youtube.com/watch?v=RpUUcL9zctY	絶え間なく藍色/ メリッサ・キンレンカ Cover	2021-06-18T09:29:30Z	https://i.ytimg.com/vi/RpUUcL9zctY/default.jpg		動画	絶え間なく藍色	獅子志司	歌唱：初音ミク	カバー
https://twitter.com/melissa_2434/status/1410134862569250817	しるゔぷれじでんと	2021-06-30T07:15:00Z			Twitter	シル・ヴ・プレジデント	P丸様。	Words & Arrange: ナナホシ管弦楽団	Twitter,短め
https://twitter.com/melissa_2434/status/1416373819174887432	めんげん💄	2021-07-17T12:26:00Z			Twitter	華奢なリップ feat.ちゃんみな	ジェニーハイ	作詞：川谷絵音・ちゃんみな、作曲：川谷絵音	Twitter,短め
https://www.youtube.com/watch?v=fEM5q38u1GM&t=1572	うたといえばまいく	2021-07-23T13:12:25Z	https://i.ytimg.com/vi/fEM5q38u1GM/default.jpg		他チャンネル	366日	HY	作詞・作曲：Izumi Nakasone	
https://www.youtube.com/watch?v=fEM5q38u1GM&t=3316	うたといえばまいく	2021-07-23T13:12:25Z	https://i.ytimg.com/vi/fEM5q38u1GM/default.jpg		他チャンネル	napori	Vaundy	作詞・作曲：Vaundy	
https://www.youtube.com/watch?v=fEM5q38u1GM&t=4615	うたといえばまいく	2021-07-23T13:12:25Z	https://i.ytimg.com/vi/fEM5q38u1GM/default.jpg		他チャンネル	いけないボーダーライン	ワルキューレ	作詞：西直紀、作曲：コモリタミノル	
https://www.youtube.com/watch?v=fEM5q38u1GM&t=5844	うたといえばまいく	2021-07-23T13:12:25Z	https://i.ytimg.com/vi/fEM5q38u1GM/default.jpg		他チャンネル	Mr.Music	作詞：れるりり、ロンチーノ=ペペ、かごめP<br>作曲：れるりり、ロンチーノ=ペペ<br>編曲＆ギターソロ：れるりり	歌唱：初音ミク(れるりり)、巡音ルカ(喜兵衛)、ミクAppend(baker)、鏡音リン(ライブP)、鏡音レン(オワタP)、GUMI(Nem)、歌愛ユキ(かごめP)	コラボ,山神カルタ,雪城眞尋
